socks5://193.233.254.8:1080  # response: 423.73ms
socks5://193.233.254.9:1080  # response: 491.61ms
socks5://174.138.61.184:1080  # response: 527.46ms
socks5://193.233.254.7:1080  # response: 441.22ms
socks5://208.65.90.3:4145  # response: 964.93ms
socks5://198.177.254.157:4145  # response: 1083.94ms
socks5://161.35.31.237:1080  # response: 1270.18ms
socks5://184.178.172.28:15294  # response: 1307.16ms
socks5://104.248.203.234:1080  # response: 1313.84ms
socks5://184.178.172.23:4145  # response: 1360.1ms
socks5://121.169.46.116:1090  # response: 1699.32ms
socks5://72.195.114.169:4145  # response: 1777.6ms
socks5://110.235.255.252:1080  # response: 1422.02ms
socks5://47.243.94.125:1080  # response: 2969.37ms
socks5://194.163.182.6:1080  # response: 1768.96ms
socks5://194.163.167.32:1080  # response: 2143.87ms
socks5://5.255.117.250:1080  # response: 483.84ms
socks5://195.35.113.29:1080  # response: 372.07ms
socks5://89.46.249.248:5432  # response: 3826.27ms
socks5://185.194.217.97:1080  # response: 592.87ms
socks5://5.129.216.47:1081  # response: 7988.4ms
socks5://5.255.113.177:1080  # response: 11598.01ms
socks5://88.216.215.144:9104  # response: 9655.8ms
socks5://161.35.98.249:39467  # response: 7938.26ms
socks5://208.72.153.59:1080  # response: 1140.84ms
socks5://213.35.110.67:10808  # response: 1265.34ms
socks4://208.102.51.6:58208  # response: 2242.59ms
socks4://72.49.49.11:31034  # response: 2429.14ms
socks4://69.61.200.104:36181  # response: 1984.36ms
socks4://174.77.111.196:4145  # response: 803.98ms
socks4://174.64.199.79:4145  # response: 766.58ms
socks4://174.77.111.197:4145  # response: 991.42ms
socks4://72.195.34.59:4145  # response: 744.26ms
socks4://184.181.217.210:4145  # response: 927.26ms
socks4://66.42.224.229:41679  # response: 2237.42ms
socks4://184.181.217.194:4145  # response: 1002.78ms
socks4://184.178.172.17:4145  # response: 1021.91ms
socks4://98.170.57.249:4145  # response: 1024.33ms
socks4://184.178.172.26:4145  # response: 842.88ms
socks4://184.185.2.12:4145  # response: 827.47ms
socks4://98.181.137.83:4145  # response: 781.76ms
socks4://98.188.47.132:4145  # response: 1743.15ms
socks4://191.102.82.83:4153  # response: 816.36ms
socks4://96.36.50.99:39593  # response: 593.27ms
socks4://208.65.90.21:4145  # response: 915.71ms
socks4://104.200.135.46:4145  # response: 942.24ms
socks4://143.110.217.153:1080  # response: 890.08ms
socks4://72.207.109.5:4145  # response: 1003.13ms
socks4://198.177.252.24:4145  # response: 659.73ms
socks4://198.177.254.131:4145  # response: 883.47ms
socks4://198.177.253.13:4145  # response: 853.22ms
socks4://184.182.240.12:4145  # response: 1088.81ms
socks4://184.182.240.211:4145  # response: 1082.43ms
socks4://103.221.228.50:5678  # response: 1329.0ms
socks4://216.68.128.121:4145  # response: 2743.68ms
socks4://192.104.242.158:4145  # response: 1651.51ms
socks4://134.199.159.23:1080  # response: 2836.02ms
socks4://37.18.73.60:5566  # response: 1367.55ms
socks4://182.253.40.33:4153  # response: 8624.95ms
socks4://195.138.65.34:5678  # response: 1404.92ms
socks4://91.142.79.166:1080  # response: 846.74ms
socks4://88.216.215.149:9060  # response: 2142.69ms
socks4://88.216.68.25:9065  # response: 6138.12ms
socks4://5.199.166.239:9063  # response: 12770.84ms
http://203.19.38.114:1080  # response: 898.47ms
http://154.65.39.7:80  # response: 667.66ms
http://47.56.110.204:8989  # response: 1332.09ms
http://221.231.13.198:1080  # response: 902.51ms
http://97.74.87.226:80  # response: 1024.57ms
http://142.93.202.130:3128  # response: 325.22ms
http://123.30.154.171:7777  # response: 2747.54ms
http://93.171.157.249:8080  # response: 640.96ms
http://113.108.13.120:8083  # response: 947.57ms
http://183.109.79.187:80  # response: 1151.78ms
http://160.248.7.177:80  # response: 3973.9ms
http://91.241.217.58:9090  # response: 628.2ms
http://212.127.95.235:8081  # response: 311.15ms
http://109.95.220.45:8080  # response: 903.2ms
http://188.191.165.159:8080  # response: 435.68ms
http://79.110.200.27:8000  # response: 289.36ms
http://81.169.213.169:8888  # response: 529.44ms
http://117.54.114.102:80  # response: 8160.85ms
http://45.65.137.218:999  # response: 8648.18ms
http://109.194.34.246:8082  # response: 532.5ms
http://77.242.21.133:8080  # response: 6480.76ms
http://87.239.31.42:80  # response: 169.02ms
http://103.106.112.166:1234  # response: 11730.48ms
http://103.210.22.17:3128  # response: 4039.14ms
http://45.4.202.170:999  # response: 6381.81ms
http://27.124.81.146:8080  # response: 6986.06ms
http://5.102.109.41:999  # response: 7585.54ms
http://160.119.228.146:12354  # response: 4386.12ms
http://103.238.232.126:8080  # response: 3905.58ms
http://113.204.79.230:9091  # response: 1099.13ms
http://45.239.175.60:8080  # response: 710.54ms
http://190.12.150.244:999  # response: 1375.99ms
http://41.223.119.156:3128  # response: 774.99ms
http://181.78.49.177:999  # response: 2021.95ms
http://212.67.31.235:8080  # response: 1873.84ms
http://197.221.234.253:80  # response: 1359.31ms
http://45.167.126.42:999  # response: 8542.01ms
http://39.185.41.193:5911  # response: 923.1ms
http://80.74.54.148:3128  # response: 289.48ms
http://182.253.110.130:8080  # response: 9806.51ms
http://52.188.28.218:3128  # response: 4018.94ms
http://46.47.197.210:3128  # response: 515.96ms
http://213.142.156.97:80  # response: 757.81ms
http://187.102.219.42:999  # response: 2759.37ms
http://103.68.214.129:1111  # response: 8895.62ms
http://103.175.237.234:3128  # response: 6627.46ms
http://200.174.198.32:8888  # response: 2061.44ms
http://187.102.219.32:999  # response: 11710.27ms
http://91.200.163.190:8088  # response: 8428.65ms
http://79.110.200.148:8081  # response: 403.76ms
http://177.234.217.238:999  # response: 9484.46ms
http://216.229.112.25:8080  # response: 1619.27ms
http://122.54.226.216:8082  # response: 9598.86ms
http://176.101.220.90:8090  # response: 372.46ms
http://183.110.216.159:8090  # response: 1047.27ms
http://213.73.25.230:8080  # response: 868.41ms
http://103.44.19.189:1112  # response: 5385.51ms
http://46.150.9.111:8123  # response: 547.74ms
http://200.48.35.126:999  # response: 2713.33ms
http://8.221.118.5:9090  # response: 281.44ms
http://183.110.216.159:8091  # response: 2178.75ms
http://217.113.25.196:8080  # response: 507.08ms
http://181.204.190.236:999  # response: 4892.24ms
http://183.110.216.128:8091  # response: 1218.91ms
http://200.188.112.142:999  # response: 11481.4ms
http://23.190.168.41:80  # response: 317.3ms
http://34.146.60.198:80  # response: 778.93ms
http://185.135.69.34:80  # response: 240.3ms
http://212.114.194.73:80  # response: 369.85ms
http://102.223.9.53:80  # response: 965.1ms
http://212.114.194.79:80  # response: 462.38ms
http://81.10.234.234:80  # response: 809.75ms
http://139.162.200.213:80  # response: 379.32ms
http://212.114.194.75:80  # response: 454.86ms
http://23.148.152.46:80  # response: 281.79ms
http://197.221.249.199:80  # response: 911.4ms
http://212.114.194.72:80  # response: 405.45ms
http://185.187.92.42:80  # response: 362.49ms
http://172.238.22.205:80  # response: 944.33ms
http://197.221.249.197:80  # response: 930.13ms
http://27.34.242.98:80  # response: 924.13ms
http://5.75.198.72:80  # response: 328.69ms
http://197.221.234.149:80  # response: 1188.91ms
http://197.221.234.252:80  # response: 1224.82ms
http://51.141.175.118:80  # response: 651.71ms
http://40.89.145.14:80  # response: 388.28ms
http://58.152.58.208:80  # response: 925.11ms
http://34.120.39.81:80  # response: 727.87ms
http://95.217.5.45:80  # response: 415.13ms
http://176.106.241.50:80  # response: 541.82ms
http://178.212.144.7:80  # response: 60.76ms
http://45.59.186.60:80  # response: 743.4ms
http://41.220.16.209:80  # response: 1956.05ms
http://221.153.152.43:80  # response: 1044.62ms
http://34.44.49.215:80  # response: 348.02ms
http://172.200.72.48:80  # response: 273.42ms
http://185.73.113.167:80  # response: 286.5ms
http://218.252.118.9:80  # response: 1500.07ms
http://4.213.167.178:80  # response: 764.44ms
http://154.31.115.210:80  # response: 1130.87ms
http://197.221.240.246:80  # response: 988.18ms
http://185.162.60.45:8080  # response: 333.21ms
http://103.213.97.78:80  # response: 841.9ms
http://119.194.72.67:80  # response: 1041.37ms
http://41.220.16.208:80  # response: 3925.97ms
http://174.136.204.40:80  # response: 751.97ms
http://123.205.71.210:80  # response: 1056.51ms
http://39.109.130.95:80  # response: 882.78ms
http://197.221.249.198:80  # response: 2052.4ms
http://174.138.119.88:80  # response: 282.21ms
http://4.213.98.253:80  # response: 796.3ms
http://218.37.228.22:80  # response: 970.22ms
